segment_S,accession_S,country,admin1,location,latitude,longitude
KM821839|G2280_SLE_2012|Human|Sierra_Leone|2012-01-23,KM821839,SLE,Kenema,Pegama,8.116599,-11.174797
KM821884|G3016_SLE_2013|Human|Sierra_Leone|2013-02-14,KM821884,SLE,Kenema,Panguma,8.184479,-11.134313
KM821857|G2511_SLE_2012|Human|Sierra_Leone|2012-05-18,KM821857,SLE,Kenema,Kamboma,8.356385,-11.433121
KM821816|G1932_SLE_2011|Human|Sierra_Leone|2011-08-24,KM821816,SLE,Bo,Gondama,7.86688,-11.70931
KM821808|G1647_SLE_2011|Human|Sierra_Leone|2011-04-15,KM821808,SLE,Kenema,Kenema,7.862212,-11.196247
KM821886|G3076_SLE_2013|Human|Sierra_Leone|2013-04-15,KM821886,SLE,Kenema,Panguma,8.184479,-11.134313
KM821852|G2405_SLE_2012|Human|Sierra_Leone|2012-03-27,KM821852,SLE,Kenema,Kenema,7.862212,-11.196247
KM821810|G1727_SLE_2011|Human|Sierra_Leone|2011-05-31,KM821810,SLE,Kenema,Lalehun,NA,NA
KM822117|LM765_SLE_2012|Mouse|Sierra_Leone|2012,KM822117,SLE,,,NA,NA
KM821796|G1190_SLE_2010|Human|Sierra_Leone|2010-09-09,KM821796,SLE,Kenema,Melegohun,NA,NA
KM821880|G2944_SLE_2012|Human|Sierra_Leone|2012-12-05,KM821880,SLE,Kenema,Seleima,NA,NA
KM821887|G3101_SLE_2013|Human|Sierra_Leone|2013-05-11,KM821887,SLE,Kenema,Gbado,8.007853,-11.278946
KM822130|Z0947_SLE_2011|Mouse|Sierra_Leone|2011,KM822130,SLE,,,NA,NA
KM821910|G3283_SLE_2013|Human|Sierra_Leone|2013-08-05,KM821910,SLE,Kenema,Kenema,7.862212,-11.196247
KM821892|G3148_SLE_2013|Human|Sierra_Leone|2013-06-01,KM821892,SLE,Kenema,Panguma,8.184479,-11.134313
KM821895|G3157_SLE_2013|Human|Sierra_Leone|2013-06-11,KM821895,SLE,Kenema,Jamboma,NA,NA
